technology,year,production_mt,share,installed_capacity_mt,new_capacity_mt,retired_capacity_mt,effective_cost_usd_per_t,capex_contribution_usd_per_t,fom_contribution_usd_per_t,vom_contribution_usd_per_t,fuel_contribution_usd_per_t,resource_contribution_usd_per_t,electricity_contribution_usd_per_t,carbon_contribution_usd_per_t,deployment_constraint_binding,scrap_constraint_binding,resource_pressure,emission_pressure,learning_effect,data_completeness,provenance
BF-BOF,2039,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2040,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2041,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2042,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2043,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2044,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2045,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2046,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2047,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2048,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2049,0.0,0.0,-0.0,0.0,-0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2050,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2051,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2052,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2053,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2054,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2055,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2056,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2057,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2058,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2059,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2060,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2061,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
