year,scenario,demand_mt,source,source_page,provenance
2024,CPS,144.29,NITI Aayog Sectoral Insights: Industry Vol. 4,Page 64,V4
2050,CPS,624.00,NITI Aayog Sectoral Insights: Industry Vol. 4,Page 63 Table 3.1,V4
2070,CPS,821.00,NITI Aayog Sectoral Insights: Industry Vol. 4,Page 63 Table 3.1,V4
2024,NZS,144.29,NITI Aayog Sectoral Insights: Industry Vol. 4,Page 64,V4
2050,NZS,624.00,NITI Aayog Sectoral Insights: Industry Vol. 4,Page 63 Table 3.1,V4
2070,NZS,821.00,NITI Aayog Sectoral Insights: Industry Vol. 4,Page 63 Table 3.1,V4
