parameter_id,variation,value,solver_status,objective,CO2_2030,H2_2030,electricity_2030,share_BF-BOF_2030,share_NG-DRI-EAF_2030,share_Scrap-EAF_2030,CO2_2050,H2_2050,electricity_2050,share_BF-BOF_2050,share_NG-DRI-EAF_2050,share_Scrap-EAF_2050,CO2_2070,H2_2070,electricity_2070,share_BF-BOF_2070,share_NG-DRI-EAF_2070,share_Scrap-EAF_2070
BASE,base,,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
discount_rate,low,0.05,0,850294.4932989544,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
discount_rate,high,0.12,0,303281.03180881985,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
price_iron_ore,low,60.0,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
price_iron_ore,high,100.0,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
price_scrap,low,200.0,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
price_scrap,high,300.0,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
price_natural_gas,low,2.0,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
price_natural_gas,high,10.0,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
price_electricity,low,30.0,0,479547.32138488884,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
price_electricity,high,90.0,0,588010.3804625181,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
price_hydrogen,low,1.2,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
price_hydrogen,high,3.5,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
price_coking_coal,low,75.0,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
price_coking_coal,high,155.0,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
price_non_coking_coal,low,35.0,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
price_non_coking_coal,high,80.0,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
capex_BF-BOF,low,52.0,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
