scenario_id,solver_status,objective,CO2_2030,H2_2030,electricity_2030,share_BF-BOF_2030,share_NG-DRI-EAF_2030,share_Scrap-EAF_2030,CO2_2050,H2_2050,electricity_2050,share_BF-BOF_2050,share_NG-DRI-EAF_2050,share_Scrap-EAF_2050,CO2_2070,H2_2070,electricity_2070,share_BF-BOF_2070,share_NG-DRI-EAF_2070,share_Scrap-EAF_2070
BASE,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
HIGH_H2_COST,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
LOW_H2_COST,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
HIGH_ELECTRICITY_COST,0,588010.3804625181,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
LOW_ELECTRICITY_COST,0,479547.32138488884,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
HIGH_CAPEX,0,566920.3411974233,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
LOW_CAPEX,0,446405.83111116884,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
HIGH_SCRAP_COST,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
LOW_SCRAP_COST,0,506663.08615429624,12.749615384615385,0.0,101.99692307692308,0.0,0.0,1.0,31.200000000000003,0.0,249.60000000000002,0.0,0.0,1.0,41.050000000000004,0.0,328.40000000000003,0.0,0.0,1.0
